JBTFBUO	864950
PPNWXOU	73122
nhui	145002.7814958113
ULQAQK	28520
skbues	41532.973109976025
INBTH	55114
hwao	738260.1289817357
muop	130169.06398749813
UECS	130092
tadpl	331854.703624307
YOEHA	47896
ZINZ	131770
lczu	87657.75417140123
yagezdu	436607.96624981327
iasye	73493.55969807775
evfe	459734.6394124264
ehrdo	327967.4469591273
VSOINE	146809
ixuovwx	141560.45823286715
HYOJO	121210
rrszin	227859.56025728708
EPKWASG	15690
nmyeip	72247.3001252351
KIPXHAK	337346
PPHOUJ	17643
RFMKO	177680
kxnbeo	658883.3585171554
pgonnoy	25044.927777868477
fsusu	170075.00551556255
uxhmswi	113665.68914794608
XOIB	202332
iuncsfg	638263.4291369842
YMALK	212956
CUXN	29633
oiya	295133.49887950986
EXGG	554323
IPBND	168497
CEIA	637715
CRRHFOT	111595
UYYFQ	133202
ivowoir	103808.65727397114
lfue	19124.491637295556
ivjh	526351.5553755916
lauqrym	136708.15974933002
ZSNENK	394273
efcgha	173691.38080322326
ciyeu	324136.5096140715
znzu	96853.33972506851
HLIDH	60107
ekusjd	93120.00091466184
qwbwsa	355814.30707778316
nnyci	82011.24423798303
ATTWFW	482433
EANQQMA	68407
NAOT	668963
QADUA	150534
XAOFZCH	192391
UIVMVRK	66222
WLATP	122301
BEVMAH	350598
UBYQJRQ	329786
myzuyw	104910.62039814633
DFHLO	82902
ZSJHEFD	290367
ojpotc	206234.80574326564
WOPMDQJ	170583
YANI	657700
nolg	179591.05758169913
ifujqu	193600.37868740546
avpvtub	61369.218828691686
JUZOOJ	98758
fkgahbp	128681.16919628231
xbisojm	57287.936233545144
mjgiy	321760.11406441854
eyhcg	273682.00468034536
viaq	679623.1714885966
IYTBA	299598
vzoqz	292709.71394096524
BXIHUJ	144211
RAWIFFK	465279
qykkqo	126969.70564573225
tgqeko	172705.29001427756
bjgaai	83919.03133105864
irnyomp	22667.717868499116
MANO	298843
	58171.49481536334
	266322
	116415.49857748114
	141550
	148039.86605104804
	184367
	252201
	277601.51865124423
	0
